10190,Casting for Recovery, P.O. Box 1123,http://www.castingforrecovery.org,4 stars,$1251248
10191,,,,,
10192,,,,,
10193,,,,,
10194,Rosenberg Fund for Children, 116 Pleasant Street,http://www.rfc.org/,3 stars,$556008
10195,,,,,
10196,Habitat for Humanity of Greater New Haven, 37 Union Street,http://www.habitatgnh.org,4 stars,$2159346
10197,American Civil Rights Union, 3213 Duke Street,http://www.theacru.org/,0 stars,$2616229
10198,,,,,
10199,Princeton Ballet Society (American Repertory Ballet), 7 Livingston Avenue,http://www.arballet.org,2 stars,$3385692
10200,Historic Deerfield, P.O. Box 321,http://www.historic-deerfield.org,3 stars,$6080717
10201,Treatment Advocacy Center, 200 North Glebe Road,http://www.treatmentadvocacycenter.org,3 stars,$1080904
10202,,,,,
10203,,,,,
10204,New Mission Systems International, 2701 Cleveland Avenue,,3 stars,$5699828
10205,Free Wheelchair Mission, 15279 Alton Parkway,,4 stars,$6085592
10206,Physicians for Reproductive Health, 55 West 39th Street,http://prh.org/,4 stars,$8516120
10207,Mesothelioma Applied Research Foundation, 1317 King Street,http://www.curemeso.org,4 stars,$2184920
10208,,,,,
10209,Melanoma Research Foundation, 1411 K. Street NW,http://www.melanoma.org/,4 stars,$4939883
10210,Walter Hoving Home, P.O. Box 194,http://www.walterhovinghome.com/,3 stars,$2129388
10211,Mars Hill Productions, 4711 Lexington Boulevard,http://www.mars-hill.org,3 stars,$1271244
10212,Life Legal Defense Foundation, P.O. Box 2105,http://www.lldf.org/,3 stars,$1331898
10213,Eva's Village, 393 Main Street,http://www.evasvillage.org,4 stars,$8534112
10214,Blind Childrens Center, 4120 Marathon Street,http://www.blindchildrenscenter.org,3 stars,$2363226
10215,Habitat for Humanity Saint Louis, 3763 Forest Park Avenue,http://www.habitatstl.org,2 stars,$4602680
10216,,,,,
10217,,,,,
10218,Room to Read, 465 California Street,http://roomtoread.org,4 stars,$39590230
10219,,,,,
10220,The Edible Schoolyard Project, 1517 Shattuck Avenue,http://edibleschoolyard.org/,4 stars,$1846725
10221,Special Olympics Nebraska, 11011 Q Street,http://www.sone.org,2 stars,$1496968
10222,The Adoption Exchange, 14232 East Evans Avenue,http://www.adoptex.org,3 stars,$4386792
10223,,,,,
10224,Grapevine Relief And Community Exchange, 610 Shady Brook Drive,,3 stars,$3262667
10225,National Consumer Law Center, Seven Winthrop Square,http://www.nclc.org/,3 stars,$10932914
