Org ID, Org Name, Address, Website, Ranking, Total Revenue, Category,URL In CharityNavigator
7449,Habitat for Humanity Greater San Francisco, 500 Washington Street,http://www.habitatgsf.org,4 stars,"$7,702,855 ",Public Benefit : Community and Housing Development,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7449
12472,Habitat for Humanity Greenville County, 49 Greenland Drive,,4 stars,"$3,019,871 ",Public Benefit : Community and Housing Development,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12472
14910,Habitat for Humanity in the Roanoke Valley, 403 Salem Avenue,http://www.habitat-roanoke.org/,4 stars,"$3,392,745 ",Public Benefit : Community and Housing Development,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14910
9138,Habitat for Humanity Kent County, 425 Pleasant Street SW,http://www.habitatkent.org/,4 stars,"$10,045,193 ",Public Benefit : Community and Housing Development,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9138
11168,Habitat for Humanity Lake County IL, 315 North Martin Luther King Jr. Avenue,http://www.habitatlc.org,4 stars,"$2,140,380 ",Public Benefit : Community and Housing Development,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11168
9168,Habitat for Humanity of Broward County, 3564 North Ocean Boulevard,http://www.habitatbroward.org/,4 stars,"$5,974,014 ",Public Benefit : Community and Housing Development,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9168
8689,Habitat for Humanity of Collier County, 11145 Tamiami Trail E,http://www.habitatcollier.org/,4 stars,"$20,952,520 ",Public Benefit : Community and Housing Development,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8689
10722,Habitat for Humanity of Dane County, 1014 Fiedler Lane,http://www.habitatdane.org,4 stars,"$5,362,043 ",Public Benefit : Community and Housing Development,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10722
14662,Habitat For Humanity of Eagle and Lake Counties, 455 Nottingham Ranch Road,,4 stars,"$2,720,206 ",Public Benefit : Community and Housing Development,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14662
15169,Habitat for Humanity of East Jefferson County, P.O. Box 658,http://www.habitatejc.org/,4 stars,"$1,952,148 ",Public Benefit : Community and Housing Development,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15169
8526,Habitat for Humanity of Forsyth County, 339 Witt Street,http://www.habitatforsyth.org,4 stars,"$3,588,581 ",Public Benefit : Community and Housing Development,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8526
9904,Habitat for Humanity of Greater Birmingham, 4408 Lloyd Noland Parkway,,4 stars,"$9,326,458 ",Public Benefit : Community and Housing Development,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9904
12452,Habitat for Humanity of Greater Cincinnati, 4910 Para Drive,http://www.cincinnatihabitat.org/,4 stars,"$6,959,549 ",Public Benefit : Community and Housing Development,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12452
8013,Habitat for Humanity of Greater Los Angeles, 8739 Artesia Boulevard,http://www.habitatla.org/,4 stars,"$33,252,792 ",Public Benefit : Community and Housing Development,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8013
10195,Habitat for Humanity of Greater New Haven, 37 Union Street,http://www.habitatgnh.org,4 stars,"$2,159,346 ",Public Benefit : Community and Housing Development,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10195
8022,Habitat for Humanity of Hillsborough County, 3736 East Hillsborough Avenue,http://www.habitathillsborough.com,4 stars,"$2,285,591 ",Public Benefit : Community and Housing Development,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8022
6639,Habitat for Humanity of Lee and Hendry Counties Florida, 1288 North Tamiami Trail,http://www.habitat4humanity.org/,4 stars,"$7,334,157 ",Public Benefit : Community and Housing Development,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6639
7710,Habitat for Humanity of Metro Denver, 3245 Eliot Street,http://www.habitatmetrodenver.org/,4 stars,"$12,495,836 ",Public Benefit : Community and Housing Development,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7710
12634,Habitat for Humanity of Monroe County IN, 213 E. Kirkwood Avenue,http://www.monroecountyhabitat.org,4 stars,"$2,955,022 ",Public Benefit : Community and Housing Development,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12634
10815,Habitat for Humanity of New Castle County, 1920 Hutton Street,http://www.habitatncc.org,4 stars,"$5,472,365 ",Public Benefit : Community and Housing Development,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10815
11166,Habitat for Humanity of Omaha, 2204 Ames Avenue,http://www.habitatomaha.org,4 stars,"$17,012,481 ",Public Benefit : Community and Housing Development,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11166
12643,Habitat for Humanity of Palm Beach County, 6758 North Military Trail,http://www.habitatpbc.org,4 stars,"$5,598,124 ",Public Benefit : Community and Housing Development,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12643
10494,Habitat for Humanity of Pinellas County, 13355 49th Street North,http://www.habitatpinellas.org,4 stars,"$7,459,537 ",Public Benefit : Community and Housing Development,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10494
9910,Habitat for Humanity of San Antonio, 311 Probandt Street,http://www.habitatsa.org/,4 stars,"$9,221,344 ",Public Benefit : Community and Housing Development,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9910
10814,Habitat For Humanity of Spartanburg, 2270 South Pine Street,http://www.habitatspartanburg.org,4 stars,"$1,564,147 ",Public Benefit : Community and Housing Development,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10814
14691,Habitat for Humanity of Summit County, 2301 Romig Road,http://www.hfhsummitcounty.org/,4 stars,"$2,501,284 ",Public Benefit : Community and Housing Development,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14691
8608,Habitat for Humanity of the Chesapeake, 3741 Commerce Drive,http://www.habitatchesapeake.org,4 stars,"$11,339,639 ",Public Benefit : Community and Housing Development,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8608
